species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
17,pidgeotto,front_gfx,2048,3bd465fb85da80f24f05f4ce9d3af82e0e3b6426d8065b0d1def7f653d3af38c,yes,0xD3AA14,0xD3AA0C,0xD3AA08,0xD3AA14,0xD3AA14,0xD3AA14,0xC3AA14
17,pidgeotto,back_gfx,2048,ecb4c606b62be4f133b2a1bb4db41b73ff868804f89e4a69b294ed7c0462a6e6,yes,0xD3ADD4,0xD3ADCC,0xD3ADC8,0xD3ADD4,0xD3ADD4,0xD3ADD4,0xC3ADD4
17,pidgeotto,normal_pal,32,d45f5a7ba4bdeac771332f949882e0bb0f44b891e1f224767b98151d3e93b4d4,yes,0xD3ADAC,0xD3ADA4,0xD3ADA0,0xD3ADAC,0xD3ADAC,0xD3ADAC,0xC3ADAC
17,pidgeotto,shiny_pal,32,5976434bc304817f17c294e4f791bb03c1fae02b71d26e5ba350b65dbe4092a9,yes,0xD3B120,0xD3B118,0xD3B114,0xD3B120,0xD3B120,0xD3B120,0xC3B120
18,pidgeot,front_gfx,2048,f02c4bb781795c23606fb0ec2e5c3d2be41050edb73ca01be3b24be4bfc73a02,yes,0xD3B568,0xD3B560,0xD3B55C,0xD3B568,0xD3B568,0xD3B568,0xC3B568
18,pidgeot,back_gfx,2048,e0f1f3e3d7bccccf272263239cb03f0d5226052fba12bb2b73d05ffb2e58303d,yes,0xD3BA7C,0xD3BA74,0xD3BA70,0xD3BA7C,0xD3BA7C,0xD3BA7C,0xC3BA7C
18,pidgeot,normal_pal,32,9db56326d978b52883a13e0643b3de4db3bf8c97c456cf92c5b0e14e7bc7f01d,yes,0xD3BA54,0xD3BA4C,0xD3BA48,0xD3BA54,0xD3BA54,0xD3BA54,0xC3BA54
18,pidgeot,shiny_pal,32,2ee7e8a282c054f81c24cb38ce6c2fcba17634e641dbc883dee534519aef1153,yes,0xD3BE64,0xD3BE5C,0xD3BE58,0xD3BE64,0xD3BE64,0xD3BE64,0xC3BE64
19,rattata,front_gfx,2048,822e911df682794c3d308865c073632566cbe866af1440ac2012f1f40161a43c,yes,0xD3C2AC,0xD3C2A4,0xD3C2A0,0xD3C2AC,0xD3C2AC,0xD3C2AC,0xC3C2AC
19,rattata,back_gfx,2048,1e63276a2dda691675f576216e9f3a069b8c3b1b9a35e245e9af4a31115e533b,yes,0xD3C52C,0xD3C524,0xD3C520,0xD3C52C,0xD3C52C,0xD3C52C,0xC3C52C
19,rattata,normal_pal,32,9bb56cf86044694803efc3a1f90ce37cc233a019eaa89ba4a4927dc7796a0f4b,yes,0xD3C504,0xD3C4FC,0xD3C4F8,0xD3C504,0xD3C504,0xD3C504,0xC3C504
19,rattata,shiny_pal,32,4abe6ed63bfeebd0fe975eba4816caac44b16e0a4c5df8777c17956ee34b95e3,yes,0xD3C7E4,0xD3C7DC,0xD3C7D8,0xD3C7E4,0xD3C7E4,0xD3C7E4,0xC3C7E4
20,raticate,front_gfx,2048,2d778ce8c909ffa8205a7ade8c696c162d56bef682071a9809b8a6cd04b73af7,yes,0xD3CC2C,0xD3CC24,0xD3CC20,0xD3CC2C,0xD3CC2C,0xD3CC2C,0xC3CC2C
20,raticate,back_gfx,2048,877cf8eef75c4a372745f14163a41c0abc8a92f7c901bd1684d93f508ae75fc2,yes,0xD3CFE4,0xD3CFDC,0xD3CFD8,0xD3CFE4,0xD3CFE4,0xD3CFE4,0xC3CFE4
20,raticate,normal_pal,32,aa15440142b0543d671f36838885b4509a5da5a57eed1f8ffd001e6f7e693b43,yes,0xD3CFBC,0xD3CFB4,0xD3CFB0,0xD3CFBC,0xD3CFBC,0xD3CFBC,0xC3CFBC
20,raticate,shiny_pal,32,1f6844cea357ef3c4829b2e1b0dee696a2dc8a5bcb669d564908246dfbc87618,yes,0xD3D2F4,0xD3D2EC,0xD3D2E8,0xD3D2F4,0xD3D2F4,0xD3D2F4,0xC3D2F4
