species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
5,charmeleon,front_gfx,2048,25f649961387b3c88d76266d213ee345a19ae7ad86f79f6ec053e0d430510e86,yes,0xD328B8,0xD328B0,0xD328AC,0xD328B8,0xD328B8,0xD328B8,0xC328B8
5,charmeleon,back_gfx,2048,571850faa4c361420896ae3b17ec3d6aeb6d17ece5e5f466e226970f07e7c978,yes,0xD32C8C,0xD32C84,0xD32C80,0xD32C8C,0xD32C8C,0xD32C8C,0xC32C8C
5,charmeleon,normal_pal,32,7876267f53f2298228add716a124a916565ea19627ccfc2b6ff59ce92d65107f,yes,0xD32C64,0xD32C5C,0xD32C58,0xD32C64,0xD32C64,0xD32C64,0xC32C64
5,charmeleon,shiny_pal,32,6bb744fc60bffc39691043a967a0c32f15e4d610107e6d664246b3c88784da05,yes,0xD32F80,0xD32F78,0xD32F74,0xD32F80,0xD32F80,0xD32F80,0xC32F80
6,charizard,front_gfx,2048,209a94b2595e4d605f200a89f761cf60cd69f246d811dc4cfcbdda93446bf97c,yes,0xD333C8,0xD333C0,0xD333BC,0xD333C8,0xD333C8,0xD333C8,0xC333C8
6,charizard,back_gfx,2048,8ae0d4a0c2c441e85d6246be111cffac960625198e3432d209f27805726d4e86,yes,0xD338EC,0xD338E4,0xD338E0,0xD338EC,0xD338EC,0xD338EC,0xC338EC
6,charizard,normal_pal,32,a879d45b16ca3c7fb4a8b2b1b700f8f4a0c1ac383cf381eee89e7efb55325089,yes,0xD338C4,0xD338BC,0xD338B8,0xD338C4,0xD338C4,0xD338C4,0xC338C4
6,charizard,shiny_pal,32,f627dc52d28f3766711cbd2ad2fd83fc03e2f30d2839e725edfdf68f7a70f1b2,yes,0xD33CF8,0xD33CF0,0xD33CEC,0xD33CF8,0xD33CF8,0xD33CF8,0xC33CF8
7,squirtle,front_gfx,2048,064c75592e475e71aab15acfc4de144c15807974a8d2fd32bc8855a2e95eda87,yes,0xD34140,0xD34138,0xD34134,0xD34140,0xD34140,0xD34140,0xC34140
7,squirtle,back_gfx,2048,5f8697f0798e4e691ce6f13efd8bdb22a6e119cbf9b8812ac47a14dda9959b0a,yes,0xD34404,0xD343FC,0xD343F8,0xD34404,0xD34404,0xD34404,0xC34404
7,squirtle,normal_pal,32,91e8d42c685214f6eaf47b323164fc637e26e3b0476993c5cf508c3df2a7f80e,yes,0xD343DC,0xD343D4,0xD343D0,0xD343DC,0xD343DC,0xD343DC,0xC343DC
7,squirtle,shiny_pal,32,34e05eb01557102d90ad7080fad86f25b10550255ee454511b2d77cc82257e2c,yes,0xD3468C,0xD34684,0xD34680,0xD3468C,0xD3468C,0xD3468C,0xC3468C
8,wartortle,front_gfx,2048,cbb9a01fe9a3bdef9ce19fb6b97b007b17fd1ff19babdcfd7e69dc5031f7b437,yes,0xD34AD4,0xD34ACC,0xD34AC8,0xD34AD4,0xD34AD4,0xD34AD4,0xC34AD4
8,wartortle,back_gfx,2048,ac9b2503f534182773ce385ea6067acea5ae84ba53952517f36b216b7b43971d,yes,0xD34EA8,0xD34EA0,0xD34E9C,0xD34EA8,0xD34EA8,0xD34EA8,0xC34EA8
8,wartortle,normal_pal,32,cabdcfc64b46f4e904b4a94939c2770c4e5222083ae5b7fe61c01a69f7eb282a,yes,0xD34E80,0xD34E78,0xD34E74,0xD34E80,0xD34E80,0xD34E80,0xC34E80
8,wartortle,shiny_pal,32,3ac6c5c4d6ca4d5fd3c55482e5238226f61a6b06265f79e2092f8d3cfe534e21,yes,0xD351F0,0xD351E8,0xD351E4,0xD351F0,0xD351F0,0xD351F0,0xC351F0
