species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
1,bulbasaur,front_gfx,2048,368698322f3594e81f0f02d949ae905810effeaa231e500891423449f11f77bd,yes,0xD2FBD4,0xD2FBCC,0xD2FBC8,0xD2FBD4,0xD2FBD4,0xD2FBD4,0xC2FBD4
1,bulbasaur,back_gfx,2048,c3f4a64b83ff1f7048cb3b6b5d4da4fe83c67b89626741334c8e26bc03b2df41,yes,0xD2FEA0,0xD2FE98,0xD2FE94,0xD2FEA0,0xD2FEA0,0xD2FEA0,0xC2FEA0
1,bulbasaur,normal_pal,32,1c3af0846ccae51783ed33e18f160ac1fe8e56d1a3ae687d8a947cad2dfd962b,yes,0xD2FE78,0xD2FE70,0xD2FE6C,0xD2FE78,0xD2FE78,0xD2FE78,0xC2FE78
1,bulbasaur,shiny_pal,32,6a2898c1255913d756e1e0c399aad6863ec488518d92334c7f744cf67b781cf4,yes,0xD30164,0xD3015C,0xD30158,0xD30164,0xD30164,0xD30164,0xC30164
2,ivysaur,front_gfx,2048,56c5842df4b6e9fc7a77ad3f131543ac27dfb77faef86f461ddd1a63ddb83236,yes,0xD305AC,0xD305A4,0xD305A0,0xD305AC,0xD305AC,0xD305AC,0xC305AC
2,ivysaur,back_gfx,2048,4b18c812d6a6c9128d4f362234f83e7784824fb29132ca43d22e918ce26fef12,yes,0xD30910,0xD30908,0xD30904,0xD30910,0xD30910,0xD30910,0xC30910
2,ivysaur,normal_pal,32,91b405c35e6d6dae0c91849c670f234ed0bcb11bd043706c8264e3726d485129,yes,0xD308E8,0xD308E0,0xD308DC,0xD308E8,0xD308E8,0xD308E8,0xC308E8
2,ivysaur,shiny_pal,32,be6a62526fd4a4f3b24a25e117e0d9ef56cfc12ea4d5d3865af77fee944d8985,yes,0xD30C64,0xD30C5C,0xD30C58,0xD30C64,0xD30C64,0xD30C64,0xC30C64
3,venusaur,front_gfx,2048,70ded6670f9e44c527a68b259c1c71e6017457e2a00cc06e5a0d223494d9c2b2,yes,0xD310AC,0xD310A4,0xD310A0,0xD310AC,0xD310AC,0xD310AC,0xC310AC
3,venusaur,back_gfx,2048,1d831006fc9934de4774dba7b09a5427b3ca71acfb5ff97caf3f202e45509373,yes,0xD31614,0xD3160C,0xD31608,0xD31614,0xD31614,0xD31614,0xC31614
3,venusaur,normal_pal,32,3e842291db25eb4e375beb0a569aa548d1f499058f2c469a7dcd276ad755efaf,yes,0xD315EC,0xD315E4,0xD315E0,0xD315EC,0xD315EC,0xD315EC,0xC315EC
3,venusaur,shiny_pal,32,d832d80f4a0e6df347d1f6b75468fb05485a846e008fe1fb7884ee6e91b49e2d,yes,0xD31ADC,0xD31AD4,0xD31AD0,0xD31ADC,0xD31ADC,0xD31ADC,0xC31ADC
4,charmander,front_gfx,2048,99512f72225d543bb4ce136380e424df45de4640b8a4c2098afa5010a2d2da64,yes,0xD31F24,0xD31F1C,0xD31F18,0xD31F24,0xD31F24,0xD31F24,0xC31F24
4,charmander,back_gfx,2048,26903209adf6c1f18df6e155cfda9340eafb8f62bdc623f74a35ff23305fbd45,yes,0xD321EC,0xD321E4,0xD321E0,0xD321EC,0xD321EC,0xD321EC,0xC321EC
4,charmander,normal_pal,32,766e7e39bdea4f311a8335306506792ee2d688ad0ef8bd5b67819de31f72d83b,yes,0xD321C4,0xD321BC,0xD321B8,0xD321C4,0xD321C4,0xD321C4,0xC321C4
4,charmander,shiny_pal,32,3d2857712939c7d6100ded2164301840c0ce994eb64828c1c427f4b63db7f933,yes,0xD32470,0xD32468,0xD32464,0xD32470,0xD32470,0xD32470,0xC32470
