species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
25,pikachu,front_gfx,2048,2372c7fa6542c3475b958678a5263b37b79f8226ef4bf59be8ee084331c4c5a7,yes,0xD40300,0xD402F8,0xD402F4,0xD40300,0xD40300,0xD40300,0xC40300
25,pikachu,back_gfx,2048,6019e3c33cbf9975d7361613ceb6937173ae2bf2863c04ac80f75b1058fa94dd,yes,0xD405F8,0xD405F0,0xD405EC,0xD405F8,0xD405F8,0xD405F8,0xC405F8
25,pikachu,normal_pal,32,34a219c99e5f2601f1025ebe0b83982204c68fedabac3407bf8057186e95bc62,yes,0xD405D0,0xD405C8,0xD405C4,0xD405D0,0xD405D0,0xD405D0,0xC405D0
25,pikachu,shiny_pal,32,69934f552307173d3ccd306d331399d80788083bb6d6adef42ba900fd2018441,yes,0xD408D0,0xD408C8,0xD408C4,0xD408D0,0xD408D0,0xD408D0,0xC408D0
26,raichu,front_gfx,2048,4a40a742323f0cada45ec3ed66f26d7595ffcaffdf0b235a1ff4d64469112f20,yes,0xD40D18,0xD40D10,0xD40D0C,0xD40D18,0xD40D18,0xD40D18,0xC40D18
26,raichu,back_gfx,2048,4bd94db1ccf8d802810b0dfc2fe82afd75e0ac0a1188de93c7b1b61ef41b70ec,yes,0xD41138,0xD41130,0xD4112C,0xD41138,0xD41138,0xD41138,0xC41138
26,raichu,normal_pal,32,267d6e6b5a952286c9c6b5d5b9fb6d4ee008b4ecf652ee8c9d765cb673680724,yes,0xD41110,0xD41108,0xD41104,0xD41110,0xD41110,0xD41110,0xC41110
26,raichu,shiny_pal,32,2216fc18607d9d1922a3532ec2552d0e0bc821c43819c839f9d3cb7ed1e33c81,yes,0xD41458,0xD41450,0xD4144C,0xD41458,0xD41458,0xD41458,0xC41458
27,sandshrew,front_gfx,2048,8ba9792bf7351ba28f0534912468e6e524b275df0f3f45ab001b90f3e9c3be58,yes,0xD418A0,0xD41898,0xD41894,0xD418A0,0xD418A0,0xD418A0,0xC418A0
27,sandshrew,back_gfx,2048,71b777c277204d25a4a31c624ce3059da83edac21178f83824e7a788c2fd9293,yes,0xD41BA4,0xD41B9C,0xD41B98,0xD41BA4,0xD41BA4,0xD41BA4,0xC41BA4
27,sandshrew,normal_pal,32,f00e9466bde2aae1929e0b7189f1fcdc775b8f625b1dc5251b8460f6f71ed05f,yes,0xD41B7C,0xD41B74,0xD41B70,0xD41B7C,0xD41B7C,0xD41B7C,0xC41B7C
27,sandshrew,shiny_pal,32,44402cae14b9d783eec6f1e13658707a3aac027bc8db546bf94772ca831d842c,yes,0xD41ECC,0xD41EC4,0xD41EC0,0xD41ECC,0xD41ECC,0xD41ECC,0xC41ECC
28,sandslash,front_gfx,2048,e356aed108d5ae1830053d1eedd20391428ed1c6683ceee9eae33571b4711173,yes,0xD42314,0xD4230C,0xD42308,0xD42314,0xD42314,0xD42314,0xC42314
28,sandslash,back_gfx,2048,b3ffd7428bb1358f70e99bee3ee5ecb70e1368920b3589ac278c56b7efe44d76,yes,0xD42754,0xD4274C,0xD42748,0xD42754,0xD42754,0xD42754,0xC42754
28,sandslash,normal_pal,32,74ded1703d029cbcc4ab924d89366d1f9aec3367bbea890313837d33f5b497bf,yes,0xD4272C,0xD42724,0xD42720,0xD4272C,0xD4272C,0xD4272C,0xC4272C
28,sandslash,shiny_pal,32,feb5af4522e04e9ba744e6ce5ea24976bd5fe9e5e18cf827914b791ccd4fc6c2,yes,0xD42B70,0xD42B68,0xD42B64,0xD42B70,0xD42B70,0xD42B70,0xC42B70
