species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
13,weedle,front_gfx,2048,3375c7963018dcf9ae7f84e332bb50007415f161a9bacfa678fb9875dd8b0cee,yes,0xD38194,0xD3818C,0xD38188,0xD38194,0xD38194,0xD38194,0xC38194
13,weedle,back_gfx,2048,b8a0938b5cd42db0b0166c863e162f3e2ba823072758d2196c9967cab2806be3,yes,0xD383F8,0xD383F0,0xD383EC,0xD383F8,0xD383F8,0xD383F8,0xC383F8
13,weedle,normal_pal,32,57a6ffceeda3eec904096fd284100acd919011f9787d295fbb899c11c5b1e7c7,yes,0xD383D0,0xD383C8,0xD383C4,0xD383D0,0xD383D0,0xD383D0,0xC383D0
13,weedle,shiny_pal,32,73f01bfd563de96050fa235207072575707a30ab4147389e43b60de46a3b897e,yes,0xD38660,0xD38658,0xD38654,0xD38660,0xD38660,0xD38660,0xC38660
14,kakuna,front_gfx,2048,0351c9e8206ee589703176716e2b68dd4da927eb03d84a94e83b02c0710e8ad2,yes,0xD38AA8,0xD38AA0,0xD38A9C,0xD38AA8,0xD38AA8,0xD38AA8,0xC38AA8
14,kakuna,back_gfx,2048,74342299cb5103ab6e0f668bf82d25898951dca70b5ae0edc9e3ffd13746c8e4,yes,0xD38D0C,0xD38D04,0xD38D00,0xD38D0C,0xD38D0C,0xD38D0C,0xC38D0C
14,kakuna,normal_pal,32,d4ba70ef7e0318bf52a535c90962caba7577ba8a8353f675861653d528876176,yes,0xD38CE8,0xD38CE0,0xD38CDC,0xD38CE8,0xD38CE8,0xD38CE8,0xC38CE8
14,kakuna,shiny_pal,32,bf434dc9e82094b6c6f993c1d7978c1ac5eb51b2a9b060a08e64742edbb04248,yes,0xD38F90,0xD38F88,0xD38F84,0xD38F90,0xD38F90,0xD38F90,0xC38F90
15,beedrill,front_gfx,2048,6745fa172bc0602b27b71adf646e2c4ca5d5d3f2fa9af2ae7361a97d50e0d076,yes,0xD393D4,0xD393CC,0xD393C8,0xD393D4,0xD393D4,0xD393D4,0xC393D4
15,beedrill,back_gfx,2048,d90b5308605f33b1d36bf594becd3d66dbc80228731507e738b2c1ed7784ea75,yes,0xD3981C,0xD39814,0xD39810,0xD3981C,0xD3981C,0xD3981C,0xC3981C
15,beedrill,normal_pal,32,772f5eba21e611b203ef66909f66acd6f8ae5416a523ad7867c2026da626b5fe,yes,0xD397F4,0xD397EC,0xD397E8,0xD397F4,0xD397F4,0xD397F4,0xC397F4
15,beedrill,shiny_pal,32,ec56bf87ed0496a9c02f4fee8e4bdcce007e541152c1036618c63c81a80f6386,yes,0xD39B90,0xD39B88,0xD39B84,0xD39B90,0xD39B90,0xD39B90,0xC39B90
16,pidgey,front_gfx,2048,210dd3d1cd7174505f91965726d0b7710c6f0b41a12c0ddb9c3104f54f010723,yes,0xD39FD8,0xD39FD0,0xD39FCC,0xD39FD8,0xD39FD8,0xD39FD8,0xC39FD8
16,pidgey,back_gfx,2048,d6a571068fddca31c98db77f66afcb421197664aa12a609933328239900a8113,yes,0xD3A278,0xD3A270,0xD3A26C,0xD3A278,0xD3A278,0xD3A278,0xC3A278
16,pidgey,normal_pal,32,86220e6437408f368b1fcb9092ec7fac26a4c9c390e4bfc367462d25ded8787b,yes,0xD3A250,0xD3A248,0xD3A244,0xD3A250,0xD3A250,0xD3A250,0xC3A250
16,pidgey,shiny_pal,32,6f8a07fbf32c7a8f4fa18dc94cd42f83e2df996e2f5902ae837c2bd55ad9fccd,yes,0xD3A5CC,0xD3A5C4,0xD3A5C0,0xD3A5CC,0xD3A5CC,0xD3A5CC,0xC3A5CC
