species_id,species,asset,bytes,sha256,identical_across_7_roms,usa_source_offset,italy_source_offset,germany_source_offset,spain_source_offset,france_source_offset,europe_rev1_source_offset,japan_source_offset
21,spearow,front_gfx,2048,a6d41c7ff4e767889328db6d176cfb13c6a9c465746f53b7b75efaa0a03c9194,yes,0xD3D73C,0xD3D734,0xD3D730,0xD3D73C,0xD3D73C,0xD3D73C,0xC3D73C
21,spearow,back_gfx,2048,f74bf251b19c5c7ec1e5d58f69a7aa5789fa9bd928b1d9400f0e963384246a57,yes,0xD3DA24,0xD3DA1C,0xD3DA18,0xD3DA24,0xD3DA24,0xD3DA24,0xC3DA24
21,spearow,normal_pal,32,9c4e9b713b7542e67419f505d910960300ca0b41cbdb0669b89e1131becdfbc6,yes,0xD3D9FC,0xD3D9F4,0xD3D9F0,0xD3D9FC,0xD3D9FC,0xD3D9FC,0xC3D9FC
21,spearow,shiny_pal,32,49e7f7ce08ba6aeac67cf5f9650b463dea36c608557d2527a5a8e4ef6094d962,yes,0xD3DD00,0xD3DCF8,0xD3DCF4,0xD3DD00,0xD3DD00,0xD3DD00,0xC3DD00
22,fearow,front_gfx,2048,16bec9e0545d8015c9cecc288415ba0f306016fbc6e45406aad9a2397df02910,yes,0xD3E148,0xD3E140,0xD3E13C,0xD3E148,0xD3E148,0xD3E148,0xC3E148
22,fearow,back_gfx,2048,6149aead4c6159ef19cfab3aedce25392aeff06fd2d267e1200406b75ee57fdd,yes,0xD3E62C,0xD3E624,0xD3E620,0xD3E62C,0xD3E62C,0xD3E62C,0xC3E62C
22,fearow,normal_pal,32,59f850b89843af59a2f088549f3a857f1086d3d09f1f6bc1ae9bb1e188aa27ab,yes,0xD3E604,0xD3E5FC,0xD3E5F8,0xD3E604,0xD3E604,0xD3E604,0xC3E604
22,fearow,shiny_pal,32,4612961d13d8bbc6122ff82419eb48a3a55aa00ee3bb217cbf4e0bb4031454fe,yes,0xD3E924,0xD3E91C,0xD3E918,0xD3E924,0xD3E924,0xD3E924,0xC3E924
23,ekans,front_gfx,2048,c955161d9d42568bfa96616db17a256ef55de2769603cdb0f5740017a450d4d8,yes,0xD3ED6C,0xD3ED64,0xD3ED60,0xD3ED6C,0xD3ED6C,0xD3ED6C,0xC3ED6C
23,ekans,back_gfx,2048,bd8f48600f0a8a0bf3f01a7fc9caec4a1beac6ee7001a9b3ddf1df961358bfc7,yes,0xD3F05C,0xD3F054,0xD3F050,0xD3F05C,0xD3F05C,0xD3F05C,0xC3F05C
23,ekans,normal_pal,32,07ea4abb333b553af0500b068bf29b471e037e8d543631d026f4908e45d8f2f8,yes,0xD3F034,0xD3F02C,0xD3F028,0xD3F034,0xD3F034,0xD3F034,0xC3F034
23,ekans,shiny_pal,32,69594f63d1f52c3d7f0b2df3a1b093c66108661fc42a2605934adb49f221c575,yes,0xD3F34C,0xD3F344,0xD3F340,0xD3F34C,0xD3F34C,0xD3F34C,0xC3F34C
24,arbok,front_gfx,2048,180f34b4481c2a8f69972d4a3048e74061e734c525ab0f17b465f7671da3fb6d,yes,0xD3F794,0xD3F78C,0xD3F788,0xD3F794,0xD3F794,0xD3F794,0xC3F794
24,arbok,back_gfx,2048,1549134e136988c0e81ccf1a274224be67eff251e27ff8849e9ce9dbad513bd4,yes,0xD3FC30,0xD3FC28,0xD3FC24,0xD3FC30,0xD3FC30,0xD3FC30,0xC3FC30
24,arbok,normal_pal,32,1cdddc591131eb12888fc0c2fe63fe44f60236951419da8e22f036afc54f5fc7,yes,0xD3FC08,0xD3FC00,0xD3FBFC,0xD3FC08,0xD3FC08,0xD3FC08,0xC3FC08
24,arbok,shiny_pal,32,0ab91dbba533f6b256714e6db55ef2e576cbed25be2a8fb5da8ebf39fe5b0690,yes,0xD3FEB8,0xD3FEB0,0xD3FEAC,0xD3FEB8,0xD3FEB8,0xD3FEB8,0xC3FEB8
