id,region,language,revision,status,size,sha1,sha256,notes
leafgreen-jp-rev0,Japan,Japanese,0,candidate,16777216,5946f1b59e8d71cc61249661464d864185c92a5f,2957b392dc09fc8df45a660af5493368d7bd378d299862f4cc115998e9da0bf2,"Title POKEMON LEAF; game code BPGJ; checksum 0x7c"
leafgreen-en-rev0,USA,English,0,candidate,16777216,574fa542ffebb14be69902d1d36f1ec0a4afd71e,78d310d557ceebc593bd393acc52d1b19a8f023fec40bc200e6063880d8531fc,"Title POKEMON LEAF; game code BPGE; checksum 0x81"
leafgreen-en-rev1,Europe,English,1,candidate,16777216,7862c67bdecbe21d1d69ce082ce34327e1c6ed5e,2f978f635b9593f6ca26ec42481c53a6b39f6cddd894ad5c062c1419fac58825,"Title POKEMON LEAF; game code BPGE; checksum 0x80"
