symbol,japan,usa,europe_rev1,germany,france,italy,spain
StringCopy_Nickname,0x08008870,0x08008CF4,0x08008D08,0x08008C74,0x08008C60,0x08008C74,0x08008C60
StringGet_Nickname,0x080088A4,0x08008D28,0x08008D3C,0x08008CA8,0x08008C94,0x08008CA8,0x08008C94
StringCopy_PlayerName,0x080088D0,0x08008D54,0x08008D68,0x08008CD4,0x08008CC0,0x08008CD4,0x08008CC0
StringCopy,0x08008900,0x08008D84,0x08008D98,0x08008D04,0x08008CF0,0x08008D04,0x08008CF0
StringAppend,0x08008920,0x08008DA4,0x08008DB8,0x08008D24,0x08008D10,0x08008D24,0x08008D10
StringCopyN,0x08008938,0x08008DBC,0x08008DD0,0x08008D3C,0x08008D28,0x08008D3C,0x08008D28
StringAppendN,0x08008968,0x08008DEC,0x08008E00,0x08008D6C,0x08008D58,0x08008D6C,0x08008D58
StringLength,0x08008984,0x08008E08,0x08008E1C,0x08008D88,0x08008D74,0x08008D88,0x08008D74
StringCompare,0x080089A4,0x08008E28,0x08008E3C,0x08008DA8,0x08008D94,0x08008DA8,0x08008D94
StringCompareN,0x080089C8,0x08008E4C,0x08008E60,0x08008DCC,0x08008DB8,0x08008DCC,0x08008DB8
ConvertIntToDecimalStringN,0x080089F4,0x08008E78,0x08008E8C,0x08008DF8,0x08008DE4,0x08008DF8,0x08008DE4
ConvertIntToHexStringN,0x08008A94,0x08008F18,0x08008F2C,0x08008E98,0x08008E84,0x08008E98,0x08008E84
StringExpandPlaceholders,0x08008B48,0x08008FCC,0x08008FE0,0x08008F4C,0x08008F38,0x08008F4C,0x08008F38
StringBraille,0x08008C34,0x080090B8,0x080090CC,0x08009038,0x08009024,0x08009038,0x08009024
ExpandPlaceholder_UnknownStringVar,0x08008C94,0x08009118,0x0800912C,0x08009098,0x08009084,0x08009098,0x08009084
ExpandPlaceholder_PlayerName,0x08008C9C,0x08009120,0x08009134,0x080090A0,0x0800908C,0x080090A0,0x0800908C
ExpandPlaceholder_StringVar1,0x08008CA8,0x0800912C,0x08009140,0x080090AC,0x08009098,0x080090AC,0x08009098
ExpandPlaceholder_StringVar2,0x08008CB0,0x08009134,0x08009148,0x080090B4,0x080090A0,0x080090B4,0x080090A0
ExpandPlaceholder_StringVar3,0x08008CB8,0x0800913C,0x08009150,0x080090BC,0x080090A8,0x080090BC,0x080090A8
ExpandPlaceholder_KunChan,0x08008CC0,0x08009144,0x08009158,0x080090C4,0x080090B0,0x080090C4,0x080090B0
ExpandPlaceholder_RivalName,0x08008CE4,0x08009168,0x0800917C,0x080090E8,0x080090D4,0x080090E8,0x080090D4
ExpandPlaceholder_Version,0x08008D24,0x080091A8,0x080091BC,0x08009128,0x08009114,0x08009128,0x08009114
ExpandPlaceholder_Magma,0x08008D2C,0x080091B0,0x080091C4,0x08009130,0x0800911C,0x08009130,0x0800911C
ExpandPlaceholder_Aqua,0x08008D34,0x080091B8,0x080091CC,0x08009138,0x08009124,0x08009138,0x08009124
ExpandPlaceholder_Maxie,0x08008D3C,0x080091C0,0x080091D4,0x08009140,0x0800912C,0x08009140,0x0800912C
ExpandPlaceholder_Archie,0x08008D44,0x080091C8,0x080091DC,0x08009148,0x08009134,0x08009148,0x08009134
ExpandPlaceholder_Groudon,0x08008D4C,0x080091D0,0x080091E4,0x08009150,0x0800913C,0x08009150,0x0800913C
ExpandPlaceholder_Kyogre,0x08008D54,0x080091D8,0x080091EC,0x08009158,0x08009144,0x08009158,0x08009144
GetExpandedPlaceholder,0x08008D5C,0x080091E0,0x080091F4,0x08009160,0x0800914C,0x08009160,0x0800914C
StringFill,0x08008D80,0x08009204,0x08009218,0x08009184,0x08009170,0x08009184,0x08009170
StringCopyPadded,0x08008DAC,0x08009230,0x08009244,0x080091B0,0x0800919C,0x080091B0,0x0800919C
StringFillWithTerminator,0x08008E00,0x08009284,0x08009298,0x08009204,0x080091F0,0x08009204,0x080091F0
StringCopyN_Multibyte,0x08008E10,0x08009294,0x080092A8,0x08009214,0x08009200,0x08009214,0x08009200
StringLength_Multibyte,0x08008E50,0x080092D4,0x080092E8,0x08009254,0x08009240,0x08009254,0x08009240
WriteColorChangeControlCode,0x08008E70,0x080092F4,0x08009308,0x08009274,0x08009260,0x08009274,0x08009260
GetExtCtrlCodeLength,,0x08009330,0x08009344,0x080092B0,0x0800929C,0x080092B0,0x0800929C
SkipExtCtrlCode,,0x0800934C,0x08009360,0x080092CC,0x080092B8,0x080092CC,0x080092B8
StringCompareWithoutExtCtrlCodes,,0x08009370,0x08009384,0x080092F0,0x080092DC,0x080092F0,0x080092DC
ConvertInternationalString,,0x080093BC,0x080093D0,0x0800933C,0x08009328,0x0800933C,0x08009328
StripExtCtrlCodes,,0x08009424,0x08009438,0x080093A4,0x08009390,0x080093A4,0x08009390
IsWirelessAdapterConnected (next module),0x08008EAC,0x08009480,0x08009494,0x08009400,0x080093EC,0x08009400,0x080093EC
