symbol,japan,usa,europe_rev1,germany,france,italy,spain
FontFunc_Small,0x08005348,0x0800537C,0x08005390,0x080052FC,0x080052E8,0x080052FC,0x080052E8
FontFunc_NormalCopy1,0x0800537C,0x080053B0,0x080053C4,0x08005330,0x0800531C,0x08005330,0x0800531C
FontFunc_Normal,0x080053B4,0x080053E8,0x080053FC,0x08005368,0x08005354,0x08005368,0x08005354
FontFunc_NormalCopy2,0x080053EC,0x08005420,0x08005434,0x080053A0,0x0800538C,0x080053A0,0x0800538C
FontFunc_Male,0x08005424,0x08005458,0x0800546C,0x080053D8,0x080053C4,0x080053D8,0x080053C4
FontFunc_Female,0x0800545C,0x08005490,0x080054A4,0x08005410,0x080053FC,0x08005410,0x080053FC
TextPrinterInitDownArrowCounters,0x08005494,0x080054C8,0x080054DC,0x08005448,0x08005434,0x08005448,0x08005434
TextPrinterDrawDownArrow,0x080054C4,0x080054F8,0x0800550C,0x08005478,0x08005464,0x08005478,0x08005464
TextPrinterClearDownArrow,0x080055A0,0x080055D4,0x080055E8,0x08005554,0x08005540,0x08005554,0x08005540
TextPrinterWaitAutoMode,0x080055D4,0x08005608,0x0800561C,0x08005588,0x08005574,0x08005588,0x08005574
TextPrinterWaitWithDownArrow,0x08005600,0x08005634,0x08005648,0x080055B4,0x080055A0,0x080055B4,0x080055A0
TextPrinterWait,0x0800564C,0x08005680,0x08005694,0x08005600,0x080055EC,0x08005600,0x080055EC
DrawDownArrow,0x08005690,0x080056C4,0x080056D8,0x08005644,0x08005630,0x08005644,0x08005630
RenderText,0x0800575C,0x08005790,0x080057A4,0x08005710,0x080056FC,0x08005710,0x080056FC
GetStringWidthFixedWidthFont,0x08005C5C,0x08005D70,0x08005D84,0x08005CF0,0x08005CDC,0x08005CF0,0x08005CDC
GetFontWidthFunc,0x08005D90,0x08005EA4,0x08005EB8,0x08005E24,0x08005E10,0x08005E24,0x08005E10
GetStringWidth,0x08005DC0,0x08005ED4,0x08005EE8,0x08005E54,0x08005E40,0x08005E54,0x08005E40
RenderTextHandleBold,0x08005F90,0x08006124,0x08006138,0x080060A4,0x08006090,0x080060A4,0x08006090
SpriteCB_TextCursor,0x0800611C,0x080062B0,0x080062C4,0x08006230,0x0800621C,0x08006230,0x0800621C
CreateTextCursorSprite,0x0800616C,0x08006300,0x08006314,0x08006280,0x0800626C,0x08006280,0x0800626C
DestroyTextCursorSprite,0x08006204,0x08006398,0x080063AC,0x08006318,0x08006304,0x08006318,0x08006304
DrawKeypadIcon,0x08006234,0x080063C8,0x080063DC,0x08006348,0x08006334,0x08006348,0x08006334
GetKeypadIconTileOffset,0x08006284,0x08006418,0x0800642C,0x08006398,0x08006384,0x08006398,0x08006384
GetKeypadIconWidth,0x08006294,0x08006428,0x0800643C,0x080063A8,0x08006394,0x080063A8,0x08006394
GetKeypadIconHeight,0x080062A4,0x08006438,0x0800644C,0x080063B8,0x080063A4,0x080063B8,0x080063A4
DecompressGlyph_Small,0x080062B4,0x08006448,0x0800645C,0x080063C8,0x080063B4,0x080063C8,0x080063B4
GetGlyphWidth_Small,0x08006300,0x080064D0,0x080064E4,0x08006450,0x0800643C,0x08006450,0x0800643C
DecompressGlyph_NormalCopy1,0x08006304,0x080064F0,0x08006504,0x08006470,0x0800645C,0x08006470,0x0800645C
GetGlyphWidth_NormalCopy1,0x08006350,0x08006598,0x080065AC,0x08006518,0x08006504,0x08006518,0x08006504
DecompressGlyph_Normal,0x08006354,0x080065B8,0x080065CC,0x08006538,0x08006524,0x08006538,0x08006524
GetGlyphWidth_Normal,0x080063F8,0x080066F8,0x0800670C,0x08006678,0x08006664,0x08006678,0x08006664
DecompressGlyph_NormalCopy2,0x08006418,0x08006724,0x08006738,0x080066A4,0x08006690,0x080066A4,0x08006690
GetGlyphWidth_NormalCopy2,0x080064B4,0x080067CC,0x080067E0,0x0800674C,0x08006738,0x0800674C,0x08006738
DecompressGlyph_Male,0x080064B8,0x080067EC,0x08006800,0x0800676C,0x08006758,0x0800676C,0x08006758
GetGlyphWidth_Male,0x0800655C,0x0800692C,0x08006940,0x080068AC,0x08006898,0x080068AC,0x08006898
DecompressGlyph_Female,0x0800657C,0x08006958,0x0800696C,0x080068D8,0x080068C4,0x080068D8,0x080068C4
GetGlyphWidth_Female,0x08006620,0x08006A98,0x08006AAC,0x08006A18,0x08006A04,0x08006A18,0x08006A04
DecompressGlyph_Bold,0x08006640,0x08006AC4,0x08006AD8,0x08006A44,0x08006A30,0x08006A44,0x08006A30
